carat,color,clarity,cut,table,depth,measurements,price
1.0,F,SI1,Excellent,61 %,59.6 %,6.47x6.51x3.87,"$5,259"
1.06,H,VS2,Excellent,57 %,62.3 %,6.5x6.54x4.06,"$4,838"
1.01,G,VS2,Excellent,58 %,62.5 %,6.34x6.38x3.98,"$4,803"
1.0,G,VS2,Excellent,60 %,61.8 %,6.35x6.39x3.94,"$5,391"
1.04,H,VVS2,Excellent,58 %,62.8 %,6.44x6.48x4.05,"$5,052"
1.51,E,SI1,Excellent,59 %,60.9 %,7.38x7.4x4.5,"$13,149"
1.51,H,VS1,Excellent,58 %,62.5 %,7.29x7.34x4.57,"$11,498"
1.5,D,VS1,Excellent,62 %,61.8 %,7.25x7.33x4.51,"$16,201"
2.1,G,VVS2,Excellent,58 %,62.6 %,8.11x8.16x5.1,"$34,974"
3.01,G,VVS2,Excellent,59 %,62.8 %,9.14x9.2x5.76,"$79,413"
0.52,E,SI2,Excellent,56 %,62.8 %,5.14x5.17x3.24,$957
0.61,G,SI2,Excellent,57 %,62.7 %,5.39x5.4x3.38,"$1,100"
0.5,E,SI1,Excellent,56 %,62.3 %,5.07x5.09x3.16,"$1,099"
0.5,D,SI2,Excellent,57 %,61.9 %,5.08x5.1x3.15,"$1,113"
0.5,D,SI1,Excellent,57 %,62.2 %,5.05x5.08x3.15,
0.5,D,SI1,Excellent,58 %,62.4 %,5.07x5.09x3.17,"$1,355"
0.51,E,SI1,Excellent,57 %,62.6 %,5.07x5.1x3.18,"$1,296"
0.5,E,SI1,Excellent,56 %,62.2 %,5.06x5.09x3.16,"$1,118"
0.5,G,VS2,Excellent,61 %,60.1 %,5.12x5.14x3.08,"$1,297"
0.5,D,SI2,Excellent,60 %,60.5 %,5.13x5.15x3.11,"$1,052"
0.57,E,SI2,Excellent,57 %,62.5 %,5.28x5.31x3.31,"$1,103"
0.6,E,VS2,Excellent,61 %,60.4 %,5.44x5.46x3.29,"$1,948"
0.51,D,SI1,Excellent,57 %,61.1 %,5.14x5.16x3.15,"$1,283"
0.5,E,VS2,Excellent,60 %,60.4 %,5.1x5.13x3.09,"$1,451"
0.6,G,VS2,Excellent,57 %,62.8 %,5.36x5.4x3.38,"$1,412"
0.51,E,SI1,Excellent,58 %,62.5 %,5.07x5.1x3.18,"$1,144"
0.62,D,VS2,Excellent,57 %,62.4 %,5.43x5.45x3.39,"$2,042"
0.62,D,VS2,Excellent,58 %,62.3 %,5.44x5.46x3.39,"$2,119"
0.5,E,VS2,Excellent,60 %,59.2 %,5.17x5.21x3.07,"$1,464"
0.5,F,VS1,Excellent,59 %,61.5 %,5.11x5.14x3.15,"$1,528"
0.6,K,VVS1,Excellent,58 %,62.5 %,5.33x5.38x3.35,"$1,024"
0.59,F,VS1,Excellent,56 %,62.3 %,5.33x5.36x3.33,"$1,467"
0.6,E,VVS1,Excellent,61 %,59.7 %,5.45x5.47x3.26,"$3,146"
0.61,D,VVS1,Excellent,58 %,61.3 %,5.44x5.45x3.34,"$3,685"
0.5,E,VVS2,Excellent,58 %,61.7 %,5.08x5.1x3.14,
0.63,D,VVS1,Excellent,56 %,62.5 %,5.45x5.47x3.42,"$4,218"
0.52,F,VVS1,Excellent,58 %,60.7 %,5.17x5.19x3.14,"$1,149"
0.58,D,FL/IF,Excellent,56 %,62.8 %,5.28x5.31x3.33,"$3,926"
0.52,D,VVS1,Excellent,58 %,61.2 %,5.15x5.19x3.16,"$1,756"
0.5,D,VVS1,Excellent,59 %,61.7 %,5.08x5.1x3.14,"$2,043"
0.8,E,SI2,Excellent,57 %,62.4 %,5.89x5.92x3.69,"$1,940"
0.63,E,VVS1,Excellent,56 %,62.7 %,5.46x5.49x3.43,"$3,040"
0.7,E,SI2,Excellent,56 %,62.2 %,5.67x5.68x3.53,"$1,754"
0.52,E,FL/IF,Excellent,58 %,60.7 %,5.2x5.22x3.16,"$2,482"
0.51,E,VVS1,Excellent,58 %,61.4 %,5.15x5.17x3.17,"$1,850"
0.56,D,FL/IF,Excellent,57 %,61.0 %,5.3x5.32x3.24,"$3,588"
0.53,D,FL/IF,Excellent,57 %,62.8 %,5.16x5.19x3.25,"$3,591"
0.61,D,VVS1,Excellent,57 %,62.7 %,5.37x5.4x3.38,"$3,692"
0.81,E,SI2,Excellent,57 %,62.8 %,5.92x5.95x3.73,"$2,148"
0.7,J,SI1,Excellent,57 %,62.8 %,5.64x5.67x3.55,"$1,350"
0.7,G,SI1,Excellent,61 %,59.7 %,5.76x5.79x3.45,"$1,881"
0.7,G,SI1,Excellent,57 %,62.8 %,5.63x5.66x3.55,"$1,705"
0.5,D,FL/IF,Excellent,56 %,63.1 %,5.02x5.07x3.18,"$2,711"
0.7,G,SI1,Excellent,58 %,61.7 %,5.67x5.7x3.51,"$1,733"
0.7,G,SI1,Excellent,60 %,61.2 %,5.66x5.7x3.48,"$1,758"
0.7,D,SI1,Excellent,57 %,62.8 %,5.63x5.67x3.55,"$2,066"
0.71,E,SI1,Excellent,61 %,59.6 %,5.79x5.82x3.46,
0.7,K,VS1,Excellent,56 %,62.7 %,5.64x5.68x3.55,"$1,332"
0.7,E,VS2,Excellent,56 %,63.2 %,5.59x5.64x3.55,
0.7,G,VS1,Excellent,56 %,63.5 %,5.62x5.65x3.58,"$2,339"
0.8,E,VVS2,Excellent,60 %,59.9 %,6.01x6.04x3.6,"$3,786"
0.7,E,VVS2,Excellent,57 %,63.1 %,5.64x5.68x3.57,"$2,213"
0.84,E,VVS1,Excellent,57 %,62.1 %,6.02x6.05x3.75,"$7,276"
0.8,E,VVS1,Excellent,60 %,59.5 %,6.03x6.05x3.6,"$6,890"
0.87,D,FL/IF,Excellent,58 %,62.5 %,6.06x6.09x3.8,"$9,402"
0.9,H,VS2,Excellent,56 %,63.6 %,6.09x6.13x3.89,"$3,214"
0.9,G,SI1,Excellent,58 %,62.0 %,6.11x6.16x3.81,"$2,925"
0.9,F,SI2,Excellent,56 %,62.9 %,6.11x6.16x3.86,"$2,882"
0.9,H,VS1,Excellent,56 %,61.3 %,6.2x6.22x3.81,"$3,446"
0.9,H,VS2,Excellent,58 %,62.8 %,6.1x6.14x3.84,"$3,324"
0.9,I,VS2,Excellent,56 %,62.8 %,6.1x6.18x3.85,"$2,294"
1.01,G,SI2,Excellent,58 %,62.7 %,6.37x6.42x4.01,"$3,122"
1.06,G,SI2,Excellent,60 %,61.5 %,6.52x6.55x4.02,"$3,426"
1.0,G,SI2,Excellent,57 %,63.0 %,6.32x6.36x3.99,"$3,551"
1.0,G,SI2,Excellent,58 %,62.7 %,6.31x6.37x3.97,"$3,468"
1.0,F,SI2,Excellent,57 %,63.5 %,6.31x6.37x4.03,
1.0,J,SI1,Excellent,57 %,61.8 %,6.34x6.41x3.94,"$2,597"
1.01,J,SI1,Excellent,57 %,62.8 %,6.35x6.39x4.0,"$2,997"
1.05,K,SI1,Excellent,61 %,59.8 %,6.58x6.6x3.94,"$2,456"
1.0,G,SI1,Excellent,59 %,62.3 %,6.37x6.41x3.98,"$4,520"
1.0,H,SI1,Excellent,58 %,62.8 %,6.31x6.35x3.98,"$3,971"
1.01,G,SI1,Excellent,59 %,62.1 %,6.41x6.45x3.99,"$4,530"
1.0,F,SI1,Excellent,61 %,60.3 %,6.44x6.48x3.89,"$4,749"
1.02,F,SI1,Excellent,60 %,62.0 %,6.41x6.46x3.99,"$5,006"
1.02,J,VS2,Excellent,56 %,62.7 %,6.38x6.42x4.01,"$3,165"
1.01,K,VS2,Excellent,57 %,62.8 %,6.36x6.4x4.0,"$2,762"
1.0,I,VS2,Excellent,54 %,62.3 %,6.37x6.4x3.98,"$3,822"
1.2,J,VS2,Excellent,57 %,62.5 %,6.76x6.79x4.23,"$3,185"
1.0,H,VS2,Excellent,60 %,61.1 %,6.37x6.41x3.91,"$4,740"
1.02,J,VS1,Excellent,60 %,62.2 %,6.42x6.46x4.0,"$3,539"
1.2,H,VS1,Excellent,58 %,61.9 %,6.76x6.78x4.19,"$6,144"
1.0,G,VS1,Excellent,56 %,62.6 %,6.34x6.38x3.98,"$6,149"
1.03,J,VVS2,Excellent,59 %,60.6 %,6.53x6.56x3.97,"$3,890"
1.15,J,VVS2,Excellent,58 %,61.9 %,6.67x6.7x4.13,"$3,927"
1.2,L,VVS2,Excellent,57 %,62.8 %,6.73x6.77x4.24,"$2,655"
1.31,E,VVS1,Excellent,56 %,62.5 %,6.96x7.0x4.36,"$16,613"
1.5,J,SI1,Excellent,55 %,62.5 %,7.28x7.32x4.56,"$6,372"
1.51,G,SI1,Excellent,56 %,62.7 %,7.3x7.33x4.59,"$12,041"
1.5,G,SI1,Very Good,58 %,63.6 %,7.07x7.17x4.53,"$8,058"
1.55,F,VS1,Excellent,55 %,62.8 %,7.33x7.38x4.62,"$18,111"
1.51,G,VS1,Excellent,59 %,60.5 %,7.4x7.42x4.48,"$15,434"
2.8,D,FL/IF,Excellent,59 %,59.6 %,9.15x9.2x5.47,"$143,732"
2.01,H,VS1,Excellent,56 %,63.4 %,7.97x8.02x5.07,"$23,212"
2.0,F,VVS2,Excellent,55 %,63.6 %,7.9x8.01x5.06,"$30,277"
3.06,H,VS2,Excellent,58 %,62.3 %,9.17x9.23x5.74,"$52,852"
4.51,J,VVS2,Excellent,60 %,60.6 %,10.59x10.64x6.43,"$78,291"
3.0,D,VVS1,Excellent,55 %,63.2 %,9.15x9.21x5.80,"$114,761"
2.5,G,SI1,Excellent,57 %,62.9 %,8.58x8.63x5.41,"$33,298"
3.01,J,SI1,Excellent,58 %,62.6 %,9.16x9.20x5.75,"$27,803"
1.79,L,SI1,Excellent,60 %,61.7 %,7.76x7.81x4.80,"$5,844"
2.0,J,VS2,Excellent,57 %,63.5 %,7.95x8.01x5.07,"$13,145"
1.51,D,SI1,Excellent,58 %,62.3 %,7.29x7.33x4.55,"$14,567"
1.51,L,VS2,Excellent,57 %,62.7 %,7.31x7.34x4.59,"$4,944"
1.5,I,SI2,Excellent,60 %,59.8 %,7.36x7.41x4.42,"$7,103"
2.01,H,VS2,Excellent,58 %,62.3 %,8.01x8.05x5.01,"$22,441"
1.51,I,SI1,Excellent,56 %,63.3 %,7.26x7.30x4.61,"$8,526"
3.01,F,SI1,Excellent,56 %,62.7 %,9.14x9.19x5.75,"$56,042"
3.0,D,FL/IF,Excellent,57 %,62.7 %,9.15x9.21x5.76,"$161,717"
2.72,M,VVS1,Excellent,57 %,62.7 %,8.85x8.89x5.57,"$14,483"
3.0,H,VS1,Excellent,57 %,63.4 %,9.10x9.16x5.79,"$55,880"
2.01,G,VS2,Excellent,56 %,63.2 %,7.98x8.02x5.06,"$20,272"
1.73,I,VVS2,Excellent,57 %,62.7 %,7.62x7.66x4.79,"$10,266"
2.0,D,FL/IF,Excellent,62 %,60.3 %,8.12x8.16x4.91,"$55,902"
1.03,D,VS2,Excellent,57 %,62.5 %,6.43x6.46x4.03,
2.01,H,SI2,Excellent,55 %,62.7 %,8.00x8.06x5.04,"$15,494"
1.02,L,FL/IF,Excellent,57 %,61.9 %,6.42x6.44x3.98,"$3,069"
1.2,K,VS2,Excellent,59 %,61.1 %,6.84x6.87x4.19,"$3,438"
1.51,H,SI2,Excellent,57 %,62.8 %,7.26x7.30x4.57,"$9,062"
2.01,J,SI1,Excellent,57 %,62.6 %,8.02x8.06x5.03,"$11,094"
1.29,K,VVS2,Excellent,59 %,61 %,6.96x7.00x4.26,
1.2,H,SI1,Excellent,58 %,62.1 %,6.76x6.80x4.21,"$4,185"
1.5,G,VS1,Very Good,61 %,63.1 %,7.15x7.19x4.53,"$12,318"
1.01,H,VS1,Excellent,57 %,62.2 %,6.39x6.43x3.99,"$3,947"
1.02,H,VVS2,Excellent,57 %,62.7 %,6.42x6.44x4.03,"$5,184"
1.0,E,VVS2,Excellent,59 %,60.7 %,6.45x6.48x3.93,"$6,108"
0.9,L,SI1,Excellent,57 %,63.5 %,6.10x6.13x3.89,"$1,315"
1.0,E,FL/IF,Excellent,56 %,63.6 %,6.29x6.34x4.02,"$8,250"
0.9,K,SI1,Excellent,58 %,62.6 %,6.14x6.16x3.85,"$1,868"
0.9,J,VS2,Excellent,58 %,62.2 %,6.14x6.18x3.83,"$1,695"
0.75,H,VS2,Excellent,58 %,61 %,5.85x5.88x3.58,"$2,266"
0.75,I,SI1,Excellent,56 %,62.7 %,5.74x5.78x3.61,"$1,522"
0.8,J,VS1,Excellent,58 %,62.6 %,5.89x5.93x3.70,"$1,554"
0.8,D,VVS2,Excellent,58 %,61.8 %,5.91x5.94x3.66,"$4,690"
0.8,F,SI1,Excellent,56 %,62.9 %,5.89x5.92x3.71,"$2,244"
0.8,J,SI1,Excellent,58 %,62.2 %,5.89x5.93x3.68,"$1,445"
0.8,I,VVS1,Excellent,57 %,62.9 %,5.86x5.90x3.70,"$1,938"
0.8,E,SI1,Excellent,56 %,62.7 %,5.90x5.94x3.71,"$2,220"
0.7,K,SI2,Very Good,61 %,63.2 %,5.55x5.61x3.53,$888
0.73,H,VVS2,Excellent,55 %,61.6 %,5.79x5.81x3.57,"$1,629"
0.73,D,VVS2,Excellent,57 %,62.2 %,5.71x5.75x3.56,"$3,876"
0.75,F,VS2,Excellent,59 %,61.1 %,5.86x5.89x3.59,"$2,941"
0.7,D,SI2,Excellent,59 %,60 %,5.74x5.76x3.45,"$1,819"
0.62,F,VVS1,Excellent,55 %,61.9 %,5.46x5.49x3.39,"$2,941"
0.7,D,VVS1,Excellent,56 %,61 %,5.73x5.74x3.50,"$4,051"
0.65,H,SI2,Excellent,57 %,62.7 %,5.52x5.53x3.47,"$1,063"
0.65,F,VS1,Excellent,55 %,62.4 %,5.52x5.54x3.46,"$1,488"
0.7,F,VS2,Excellent,59 %,59.6 %,5.77x5.79x3.44,"$2,669"
0.63,D,VVS1,Excellent,56 %,62 %,5.50x5.53x3.42,"$4,031"
0.65,D,VVS1,Excellent,58 %,60.6 %,5.60x5.63x3.40,"$4,421"
0.7,E,VS1,Excellent,57 %,62.7 %,5.64x5.67x3.55,"$2,822"
0.66,D,VVS1,Excellent,58 %,62 %,5.57x5.59x3.46,"$4,436"
0.65,D,VVS1,Excellent,57 %,62 %,5.54x5.56x3.45,"$4,264"
0.65,F,SI2,Excellent,58 %,61.3 %,5.52x5.56x3.40,"$1,216"
0.61,D,VS2,Excellent,57 %,62.4 %,5.42x5.44x3.39,"$1,914"
0.59,D,VS2,Excellent,57 %,62.7 %,5.33x5.36x3.35,"$1,514"
0.59,D,SI1,Excellent,59 %,60.7 %,5.38x5.41x3.28,"$1,492"
0.59,E,VS2,Excellent,57 %,61.9 %,5.37x5.40x3.33,"$1,380"
0.6,F,SI1,Excellent,57 %,62.4 %,5.38x5.41x3.37,"$1,332"
0.58,F,VS2,Very Good,63 %,62.6 %,5.26x5.31x3.31,"$1,256"
0.52,E,SI2,Excellent,58 %,61.8 %,5.15x5.18x3.19,$987
0.51,D,VVS1,Excellent,58 %,60.3 %,5.19x5.20x3.13,"$2,812"
0.52,K,SI2,Excellent,57 %,62.7 %,5.11x5.14x3.21,$665
0.52,H,VS2,Excellent,58 %,61.6 %,5.16x5.18x3.19,"$1,023"
0.55,D,VVS1,Excellent,60 %,60.8 %,5.29x5.31x3.22,"$2,941"
0.52,D,FL/IF,Excellent,59 %,62.1 %,5.12x5.15x3.19,"$3,635"
0.51,H,VS2,Excellent,59 %,59.8 %,5.18x5.21x3.10,"$1,002"
0.5,D,VS2,Excellent,56 %,62.4 %,5.03x5.08x3.15,"$1,304"
0.5,D,FL/IF,Very Good,54 %,63.5 %,5.02x5.05x3.20,"$1,664"
0.5,D,VVS2,Excellent,59 %,62.2 %,5.06x5.11x3.16,"$1,418"
0.51,E,SI1,Excellent,59 %,60.5 %,5.17x5.20x3.14,"$1,162"
0.51,G,VVS1,Excellent,56 %,62.5 %,5.09x5.12x3.19,"$1,692"
0.5,D,SI2,Excellent,56 %,62.4 %,5.08x5.11x3.18,"$1,053"
0.5,D,VS1,Excellent,57 %,61 %,5.13x5.16x3.14,"$1,771"
0.5,D,VS2,Excellent,55 %,62.3 %,5.05x5.09x3.16,"$1,448"
0.5,I,SI1,Excellent,58 %,61.3 %,5.08x5.10x3.12,$761
0.5,J,VS2,Excellent,60 %,60.4 %,5.14x5.16x3.11,$806
0.5,F,SI1,Excellent,59 %,61 %,5.11x5.14x3.13,"$1,144"
0.5,G,VS1,Excellent,60 %,59.6 %,5.13x5.16x3.07,"$1,332"
0.5,F,VS1,Excellent,55 %,62.6 %,5.06x5.09x3.18,"$1,226"
0.7,I,SI2,Excellent,59 %,62.1 %,5.62x5.70x3.52,"$1,111"
0.63,I,VVS2,Excellent,57 %,62.1 %,5.45x5.49x3.40,"$1,354"
0.65,G,SI2,Excellent,57 %,62.7 %,5.50x5.51x3.45,"$1,109"
0.52,G,VS2,Excellent,56 %,62.5 %,5.14x5.16x3.22,"$1,390"
0.53,F,SI2,Excellent,58 %,61.8 %,5.22x5.24x3.23,$954
0.5,D,SI1,Excellent,58 %,61.7 %,5.06x5.08x3.13,"$1,198"
0.5,D,SI2,Very Good,57 %,63.9 %,4.96x5.02x3.19,$967
0.5,D,SI1,Excellent,59 %,61.9 %,5.08x5.10x3.15,"$1,134"
0.5,D,VS2,Excellent,59 %,61.4 %,5.10x5.13x3.14,"$1,184"
0.5,D,VS2,Excellent,58 %,61.9 %,5.07x5.09x3.14,"$1,160"
0.5,D,VVS2,Excellent,58 %,62.5 %,5.05x5.08x3.17,"$1,961"
0.5,D,SI1,Excellent,55 %,62.8 %,5.04x5.07x3.18,"$1,177"
0.5,H,SI1,Excellent,57 %,62.9 %,5.04x5.07x3.18,$915
0.5,H,VS2,Excellent,57 %,62.5 %,5.04x5.06x3.15,"$1,184"
0.5,F,SI1,Excellent,58 %,61.3 %,5.10x5.12x3.13,$990
0.5,F,VS2,Excellent,56 %,62.6 %,5.04x5.07x3.17,"$1,373"
0.5,E,SI1,Excellent,56 %,62.7 %,5.04x5.07x3.17,"$1,038"
0.5,E,VS2,Excellent,58 %,60.3 %,5.13x5.16x3.10,"$1,362"
1.0,J,SI1,Excellent,59 %,62.8 %,6.32x6.37x3.98,"$2,702"
2.5,G,VS2,Excellent,55 %,62.5 %,8.62x8.65x5.40,"$38,317"
2.51,G,SI1,Excellent,57 %,62.8 %,8.60x8.65x5.42,"$32,245"
2.53,F,VS1,Excellent,56 %,61.4 %,8.78x8.84x5.41,"$46,298"
3.01,I,SI1,Excellent,61 %,60.2 %,9.34x9.39x5.64,"$38,939"
2.01,J,VS2,Excellent,58 %,62.5 %,8.03x8.08x5.04,"$13,692"
1.5,L,VVS1,Excellent,57 %,62.8 %,7.23x7.33x4.57,"$5,737"
2.51,E,VS2,Excellent,59 %,60.5 %,8.79x8.85x5.34,"$38,383"
2.5,F,VS1,Excellent,56 %,63.4 %,8.55x8.61x5.44,"$50,323"
1.8,D,FL/IF,Excellent,57 %,62.7 %,7.73x7.76x4.85,"$45,281"
1.5,E,VS1,Excellent,60 %,61.4 %,7.33x7.37x4.51,"$18,389"
1.21,I,SI2,Excellent,57 %,62.7 %,6.79x6.82x4.27,"$3,803"
1.29,J,VVS2,Excellent,57 %,62.7 %,6.90x6.95x4.34,"$5,120"
1.7,I,VS2,Excellent,56 %,62.7 %,7.57x7.61x4.76,"$10,764"
1.78,E,FL/IF,Excellent,58 %,62.7 %,7.67x7.72x4.83,"$33,627"
1.59,D,VVS1,Excellent,57 %,62.5 %,7.42x7.47x4.65,"$21,816"
1.6,D,VS1,Excellent,59 %,62 %,7.44x7.49x4.63,"$21,204"
1.2,K,VVS2,Excellent,58 %,62.4 %,6.75x6.78x4.22,"$3,867"
1.51,I,VVS2,Excellent,60 %,59.2 %,7.43x7.47x4.41,"$8,792"
1.03,I,SI2,Excellent,57 %,62.6 %,6.42x6.44x4.03,"$3,122"
1.18,K,FL/IF,Excellent,57 %,62.7 %,6.71x6.74x4.22,"$4,206"
1.01,J,VVS2,Excellent,55 %,63.2 %,6.36x6.39x4.03,"$3,176"
1.3,F,SI2,Excellent,55 %,62.6 %,6.95x6.97x4.35,"$6,128"
1.02,I,FL/IF,Excellent,57 %,62.7 %,6.38x6.42x4.01,"$4,989"
1.03,D,VVS1,Excellent,56 %,61.9 %,6.45x6.47x4.00,"$13,706"
1.01,D,VS1,Excellent,58 %,61.9 %,6.42x6.46x3.98,"$6,963"
1.01,G,SI2,Excellent,55 %,62.6 %,6.37x6.41x4.00,"$3,600"
1.03,K,SI2,Excellent,56 %,62.4 %,6.45x6.48x4.04,"$2,126"
1.12,K,FL/IF,Excellent,57 %,62.8 %,6.58x6.62x4.14,"$3,860"
1.01,J,SI1,Excellent,57 %,62.9 %,6.35x6.39x4.01,"$2,060"
1.0,K,VVS2,Excellent,57 %,62.7 %,6.37x6.41x4.01,"$2,648"
1.01,F,SI1,Excellent,57 %,62.6 %,6.38x6.41x4.00,"$4,119"
1.03,E,VS1,Excellent,58 %,62.6 %,6.44x6.46x4.04,"$7,653"
1.0,I,VVS2,Excellent,56 %,63.2 %,6.35x6.38x4.03,"$4,004"
1.02,F,SI1,Excellent,58 %,62.9 %,6.39x6.43x4.03,"$4,551"
1.01,K,VS1,Excellent,58 %,62.7 %,6.36x6.39x4.00,"$2,393"
1.01,G,SI1,Excellent,60 %,60.8 %,6.44x6.47x3.93,"$4,199"
1.01,I,FL/IF,Excellent,58 %,62.5 %,6.37x6.41x4.00,"$4,854"
1.0,D,VVS1,Excellent,60 %,61.2 %,6.42x6.46x3.94,"$13,095"
1.0,D,FL/IF,Excellent,61 %,60.4 %,6.46x6.49x3.91,"$11,501"
1.0,D,VVS1,Excellent,60 %,60.1 %,6.43x6.47x3.88,"$12,884"
1.0,E,SI2,Excellent,59 %,61.7 %,6.36x6.40x3.94,"$3,089"
1.0,I,VVS1,Excellent,59 %,60.9 %,6.43x6.45x3.92,"$3,782"
1.0,F,SI2,Excellent,57 %,62.8 %,6.34x6.38x3.99,"$4,229"
0.97,I,SI1,Excellent,56 %,62.6 %,6.29x6.32x3.94,"$2,113"
1.01,E,VS2,Very Good,57 %,64.5 %,6.22x6.26x4.03,"$5,118"
0.96,G,SI2,Excellent,58 %,62.1 %,6.28x6.31x3.91,"$2,491"
0.96,F,SI1,Excellent,59 %,61.3 %,6.35x6.38x3.90,"$3,097"
2.0,J,SI1,Excellent,62 %,61.5 %,7.96x8.07x4.93,"$10,167"
0.5,G,SI2,Very Good,60 %,61.5 %,5.02x5.06x3.10,$758
2.0,D,VS1,Excellent,56 %,62.1 %,8.06x8.11x5.03,"$37,942"
1.51,D,SI1,Excellent,61 %,59.1 %,7.43x7.47x4.40,"$14,567"
1.7,K,SI1,Excellent,59 %,61 %,7.66x7.71x4.68,"$6,109"
1.79,I,VS2,Excellent,59 %,62.2 %,7.77x7.79x4.84,"$11,693"
2.5,F,SI2,Excellent,62 %,59.8 %,8.76x8.82x5.25,"$25,627"
2.0,E,VS2,Excellent,57 %,62.5 %,8.01x8.05x5.02,"$29,169"
1.71,L,VS1,Excellent,57 %,62.8 %,7.59x7.63x4.78,"$5,236"
1.51,E,VS1,Excellent,59 %,61.3 %,7.32x7.36x4.50,"$18,807"
7.01,M,VVS2,Excellent,56 %,63.5 %,12.05x12.13x7.67,"$106,659"
1.81,M,VS2,Excellent,57 %,62.6 %,7.71x7.76x4.84,"$5,151"
1.7,J,SI1,Excellent,60 %,59.5 %,7.73x7.78x4.62,"$7,864"
1.5,G,VS1,Excellent,58 %,62.8 %,7.26x7.30x4.57,"$15,160"
1.71,I,SI1,Excellent,55 %,62.6 %,7.62x7.63x4.77,"$9,526"
1.22,D,SI1,Excellent,58 %,62.3 %,6.83x6.86x4.27,"$5,289"
1.03,D,VVS1,Excellent,58 %,61.6 %,6.52x6.55x4.03,"$7,889"
1.51,J,SI1,Excellent,56 %,63.3 %,7.25x7.29x4.60,"$5,661"
1.2,E,SI1,Excellent,60 %,60.5 %,6.83x6.87x4.14,"$5,651"
2.5,F,VS2,Excellent,58 %,62.6 %,8.62x8.64x5.41,"$43,585"
1.01,D,VS1,Excellent,56 %,62.8 %,6.40x6.43x4.03,"$6,821"
1.29,L,VVS2,Excellent,55 %,63.2 %,6.87x6.92x4.36,"$3,210"
1.03,D,VVS2,Excellent,58 %,61.3 %,6.51x6.55x4.00,"$10,401"
1.2,E,SI2,Excellent,57 %,63.5 %,6.68x6.73x4.26,"$4,193"
1.01,E,SI1,Excellent,57 %,62.8 %,6.37x6.40x4.01,"$5,694"
1.01,E,SI1,Excellent,56 %,63.4 %,6.32x6.35x4.02,"$4,458"
1.01,M,SI2,Excellent,58 %,61.1 %,6.44x6.46x3.94,"$1,397"
1.01,F,VVS1,Excellent,59 %,60.1 %,6.48x6.50x3.90,"$6,654"
1.0,D,VS1,Excellent,57 %,62.8 %,6.35x6.38x4.00,"$5,346"
1.0,M,SI2,Excellent,59 %,62.4 %,6.33x6.37x3.96,"$1,568"
1.2,G,SI1,Excellent,56 %,63.5 %,6.70x6.74x4.26,"$5,031"
1.01,E,VS2,Excellent,56 %,62.6 %,6.37x6.41x4.00,"$5,118"
1.01,G,SI2,Excellent,58 %,63.1 %,6.36x6.39x4.02,"$3,600"
1.01,F,SI1,Excellent,58 %,61.3 %,6.48x6.50x3.98,"$4,376"
0.96,D,SI1,Excellent,61 %,61.5 %,6.27x6.31x3.87,"$4,819"
1.0,I,SI2,Excellent,58 %,60.6 %,6.40x6.44x3.89,"$3,030"
1.0,E,SI1,Excellent,56 %,63.3 %,6.31x6.35x4.01,"$4,874"
1.0,E,SI1,Excellent,60 %,61.2 %,6.42x6.46x3.94,"$4,529"
0.96,M,VVS1,Excellent,56 %,63.3 %,6.23x6.27x3.95,"$1,676"
1.01,J,SI2,Excellent,56 %,62.7 %,6.38x6.40x4.01,"$2,700"
0.9,H,SI1,Excellent,56 %,63.1 %,6.11x6.14x3.87,"$2,837"
0.9,I,VS2,Very Good,57 %,64.1 %,6.02x6.07x3.87,"$2,178"
0.98,G,SI1,Excellent,57 %,62.4 %,6.30x6.34x3.94,"$3,097"
1.0,K,VVS1,Excellent,58 %,62.8 %,6.36x6.39x4.00,"$3,198"
0.9,F,SI2,Excellent,60 %,60.4 %,6.23x6.27x3.78,"$2,617"
1.0,I,SI1,Excellent,55 %,63 %,6.37x6.40x4.02,"$2,996"
0.81,D,VS2,Excellent,58 %,62.4 %,5.95x5.97x3.72,"$3,637"
1.0,F,SI2,Excellent,59 %,60.5 %,6.44x6.47x3.91,"$3,119"
0.9,G,VS1,Excellent,56 %,62.7 %,6.12x6.16x3.85,"$2,928"
1.0,F,SI1,Excellent,57 %,62.9 %,6.32x6.36x3.99,"$3,569"
0.8,F,SI1,Excellent,55 %,62.4 %,5.90x5.94x3.69,"$1,976"
0.76,J,FL/IF,Excellent,59 %,60.1 %,5.93x5.97x3.58,"$1,967"
0.9,I,SI2,Excellent,56 %,62.2 %,6.16x6.19x3.84,"$2,236"
0.76,F,SI1,Excellent,58 %,61.1 %,5.89x5.91x3.60,"$2,155"
0.75,J,SI2,Excellent,58 %,61.7 %,5.78x5.81x3.58,"$1,240"
0.71,G,VVS2,Excellent,59 %,61.2 %,5.72x5.76x3.51,"$2,337"
0.71,H,VVS1,Excellent,58 %,61.5 %,5.74x5.77x3.54,"$1,919"
0.75,E,VS2,Excellent,57 %,62 %,5.81x5.82x3.61,"$2,093"
0.7,I,SI2,Excellent,58 %,62.4 %,5.66x5.69x3.54,
0.7,D,SI2,Excellent,56 %,62.6 %,5.66x5.70x3.56,"$1,870"
0.73,H,SI2,Excellent,58 %,62.4 %,5.71x5.74x3.57,"$1,441"
0.75,F,VS1,Excellent,56 %,63.1 %,5.77x5.79x3.65,"$3,050"
