carat,color,clarity,cut,table,depth,measurements,price
0.5,E,SI2,Excellent,56 %,62.8 %,5.06x5.08x3.19,"$1,005"
0.5,F,SI1,Excellent,59 %,60.6 %,5.15x5.17x3.13,"$1,142"
0.5,D,SI2,Excellent,58 %,62.2 %,5.08x5.11x3.17,"$1,004"
0.5,E,SI1,Excellent,56 %,62.3 %,5.05x5.07x3.16,"$1,080"
0.5,D,SI2,Excellent,57 %,62.6 %,5.06x5.08x3.18,"$1,113"
0.51,D,SI2,Excellent,59 %,61.2 %,5.14x5.16x3.15,"$1,200"
0.61,I,VS2,Excellent,58 %,61.8 %,5.43x5.46x3.37,"$1,208"
0.5,E,SI1,Excellent,59 %,61.0 %,5.13x5.15x3.14,"$1,286"
0.5,D,VS2,Excellent,56 %,62.8 %,5.05x5.08x3.18,"$1,274"
0.5,H,VS2,Excellent,61 %,59.8 %,5.13x5.17x3.08,"$1,056"
0.5,G,SI2,Excellent,57 %,62.0 %,5.09x5.12x3.17,$893
0.5,H,VS2,Excellent,61 %,59.1 %,5.18x5.2x3.07,"$1,023"
0.5,G,VS2,Excellent,60 %,59.6 %,5.11x5.17x3.06,"$1,185"
0.5,G,VS1,Excellent,61 %,59.6 %,5.16x5.18x3.08,"$1,405"
0.6,F,VS1,Excellent,60 %,61.6 %,5.4x5.44x3.34,"$1,647"
0.6,F,VS2,Excellent,61 %,60.4 %,5.42x5.45x3.29,"$1,855"
0.5,F,VS1,Excellent,59 %,61.0 %,5.13x5.14x3.13,"$1,533"
0.55,D,VS2,Excellent,55 %,61.6 %,5.28x5.29x3.26,"$1,708"
0.5,G,SI1,Excellent,61 %,59.5 %,5.15x5.18x3.07,"$1,027"
0.5,G,SI1,Excellent,59 %,61.2 %,5.08x5.11x3.12,$977
0.55,F,VVS2,Excellent,57 %,62.5 %,5.24x5.27x3.28,"$1,832"
0.5,F,VS1,Excellent,61 %,59.5 %,5.13x5.16x3.06,"$1,482"
0.57,D,VS2,Excellent,60 %,59.5 %,5.41x5.43x3.23,"$1,852"
0.63,D,SI1,Excellent,58 %,62.8 %,5.44x5.46x3.42,"$1,920"
0.5,E,VVS2,Excellent,57 %,62.5 %,5.04x5.07x3.16,"$1,316"
0.5,G,VS2,Excellent,61 %,59.1 %,5.16x5.18x3.06,"$1,347"
0.6,D,VVS2,Excellent,58 %,62.4 %,5.34x5.37x3.34,"$2,460"
0.58,E,VVS1,Excellent,59 %,60.2 %,5.4x5.44x3.26,"$3,030"
0.62,D,VVS2,Excellent,57 %,61.6 %,5.45x5.47x3.36,"$2,183"
0.5,D,VVS2,Excellent,58 %,62.6 %,5.06x5.08x3.17,"$1,385"
0.51,K,VVS1,Excellent,60 %,60.7 %,5.13x5.17x3.12,$946
0.5,E,VS1,Excellent,59 %,62.6 %,5.02x5.08x3.16,"$1,345"
0.5,E,VS1,Excellent,58 %,62.4 %,5.03x5.06x3.15,"$1,680"
0.62,D,VVS1,Excellent,59 %,61.8 %,5.44x5.45x3.36,"$4,304"
0.5,E,VVS2,Excellent,61 %,58.2 %,5.21x5.24x3.04,"$1,731"
0.61,D,VVS1,Excellent,57 %,62.3 %,5.4x5.43x3.38,"$4,151"
0.5,F,VVS2,Excellent,60 %,61.2 %,5.12x5.14x3.14,"$1,357"
0.62,D,FL/IF,Excellent,57 %,62.6 %,5.43x5.45x3.4,"$4,364"
0.5,D,VVS1,Excellent,59 %,59.9 %,5.16x5.19x3.1,"$2,677"
0.62,D,FL/IF,Excellent,57 %,62.4 %,5.43x5.46x3.4,"$4,322"
0.58,G,FL/IF,Excellent,57 %,62.8 %,5.29x5.32x3.33,"$1,893"
0.62,F,FL/IF,Excellent,58 %,62.6 %,5.43x5.46x3.41,"$2,951"
0.58,D,VVS2,Excellent,59 %,59.6 %,5.43x5.47x3.25,"$2,507"
0.5,D,VVS1,Excellent,58 %,62.3 %,5.03x5.07x3.15,"$2,690"
0.5,E,FL/IF,Excellent,59 %,59.1 %,5.19x5.21x3.08,"$2,444"
0.55,F,FL/IF,Excellent,59 %,61.2 %,5.26x5.29x3.23,"$2,335"
0.5,D,FL/IF,Excellent,59 %,59.8 %,5.18x5.2x3.11,"$3,267"
0.6,D,VVS1,Excellent,59 %,60.9 %,5.41x5.45x3.31,"$4,127"
0.51,D,FL/IF,Excellent,56 %,62.8 %,5.1x5.14x3.22,"$3,365"
0.51,D,FL/IF,Excellent,59 %,61.7 %,5.12x5.14x3.16,"$3,365"
0.6,I,FL/IF,Excellent,61 %,59.6 %,5.48x5.49x3.27,"$1,204"
0.62,E,FL/IF,Excellent,56 %,62.5 %,5.44x5.47x3.41,"$3,288"
0.72,H,SI1,Excellent,58 %,62.6 %,5.71x5.74x3.58,"$1,639"
0.84,D,VVS1,Excellent,57 %,62.3 %,6.01x6.04x3.75,"$8,716"
0.7,D,VVS2,Excellent,59 %,61.2 %,5.69x5.71x3.49,"$3,406"
0.8,D,SI1,Excellent,58 %,62.5 %,5.89x5.92x3.69,"$2,717"
0.71,G,VVS2,Excellent,56 %,62.9 %,5.65x5.69x3.57,"$2,768"
0.85,G,FL/IF,Excellent,57 %,62.7 %,6.01x6.04x3.78,"$4,839"
0.84,F,VVS2,Excellent,59 %,60.5 %,6.05x6.09x3.68,"$4,004"
0.84,E,FL/IF,Excellent,58 %,62.5 %,6.01x6.05x3.77,"$7,908"
0.85,G,VVS1,Excellent,57 %,62.8 %,6.03x6.06x3.8,"$4,122"
0.8,E,VVS2,Excellent,56 %,62.5 %,5.93x5.95x3.72,"$3,282"
0.91,D,VVS1,Excellent,59 %,61.3 %,6.22x6.25x3.82,"$9,189"
0.9,I,VS1,Excellent,57 %,62.6 %,6.12x6.15x3.84,"$3,248"
1.09,D,FL/IF,Excellent,58 %,62.2 %,6.57x6.59x4.09,"$20,683"
0.9,H,SI1,Excellent,55 %,63.3 %,6.1x6.14x3.87,"$3,004"
0.91,E,VS1,Excellent,57 %,62.8 %,6.14x6.17x3.86,"$5,046"
0.9,E,VS1,Excellent,55 %,63.0 %,6.1x6.14x3.85,"$4,678"
1.02,H,SI2,Excellent,58 %,62.8 %,6.37x6.4x4.01,"$3,294"
1.0,H,SI2,Excellent,56 %,62.3 %,6.37x6.39x3.97,"$2,858"
0.9,G,VVS2,Excellent,56 %,62.2 %,6.15x6.17x3.83,"$5,162"
0.93,E,VVS1,Excellent,57 %,60.5 %,6.33x6.36x3.84,"$8,603"
0.9,H,VS2,Excellent,56 %,63.0 %,6.1x6.14x3.86,"$2,724"
1.0,G,SI2,Excellent,56 %,62.9 %,6.35x6.38x4.0,"$3,146"
0.96,D,FL/IF,Excellent,57 %,62.7 %,6.26x6.28x3.93,"$10,912"
1.0,F,SI2,Excellent,58 %,62.6 %,6.32x6.36x3.97,"$3,575"
0.9,E,VS1,Excellent,57 %,61.3 %,6.19x6.21x3.8,"$4,943"
0.92,G,VVS2,Excellent,58 %,62.8 %,6.19x6.21x3.89,"$5,303"
1.01,H,SI1,Excellent,58 %,61.3 %,6.44x6.45x3.95,"$3,933"
1.02,E,SI2,Excellent,56 %,62.6 %,6.4x6.43x4.01,"$4,059"
