carat,cut,color,clarity,depth,table,price,measurements
1.00,Very Good,D,VS2,64.9,55.0,"$4,417",6.1x6.24x4.01 mm
1.00,Excellent,E,VVS1,61.2,60.0,"$6,955",6.41x6.47x3.94 mm
1.40,Excellent,K,SI1,62.9,58.0,"$4,169",7.07x7.12x4.46 mm
0.90,Excellent,D,IF,62.7,58.0,"$8,964",6.12x6.17x3.85 mm
0.91,Excellent,D,IF,61.9,57.0,"$9,191",6.18x6.22x3.84 mm
1.13,Excellent,H,VS1,59.1,60.0,"$4,760",6.85x6.9x4.06 mm
0.90,Excellent,D,VVS1,63.0,56.0,"$5,590",6.12x6.16x3.87 mm
1.01,Excellent,D,VS1,62.1,59.0,"$8,186",6.4x6.44x3.99 mm
0.90,Excellent,D,VS2,62.5,58.0,"$4,277",6.12x6.15x3.84 mm
1.01,Excellent,D,VVS2,62.9,56.0,"$9,050",6.33x6.37x3.99 mm
1.00,Excellent,F,VS2,62.5,58.0,"$5,476",6.33x6.36x3.97 mm
1.01,Excellent,E,VS2,62.8,59.0,"$5,821",6.36x6.4x4.01 mm
1.01,Excellent,D,VVS2,62.8,58.0,"$9,126",6.35x6.4x4 mm
1.00,Excellent,H,VVS2,62.5,59.0,"$4,892",6.32x6.36x3.96 mm
1.53,Excellent,J,VVS2,61.9,58.0,"$6,437",7.4x7.43x4.59 mm
0.90,Excellent,D,VVS1,63.1,55.0,"$7,260",6.13x6.17x3.88 mm
0.97,Excellent,E,VVS1,60.6,59.0,"$6,530",6.4x6.42x3.88 mm
0.90,Excellent,E,VVS1,59.4,61.0,"$5,010",6.3x6.36x3.76 mm
0.90,Excellent,F,VVS1,58.2,62.0,"$6,530",6.33x6.38x3.7 mm
0.96,Excellent,E,VVS1,62.9,59.0,"$6,005",6.22x6.27x3.93 mm
1.50,Excellent,D,SI1,62.6,58.0,"$9,170",7.22x7.27x4.54 mm
1.40,Excellent,D,VS2,62.1,58.0,"$9,871",7.12x7.15x4.43 mm
0.83,Excellent,D,IF,61.0,57.0,"$6,923",6.09x6.12x3.72 mm
1.51,Very Good,I,SI2,62.6,60.0,"$4,060",7.16x7.23x4.51 mm
1.51,Excellent,F,SI1,62.3,58.0,"$8,543",7.27x7.3x4.54 mm
1.02,Very Good,G,VS1,64.7,55.0,"$4,730",6.23x6.28x4.05 mm
1.01,Excellent,H,VVS2,62.7,57.0,"$5,076",6.4x6.41x4.02 mm
1.05,Excellent,F,VVS2,61.0,58.0,"$6,080",6.55x6.58x4.01 mm
1.00,Excellent,G,VVS2,62.6,57.0,"$5,389",6.33x6.37x3.97 mm
0.86,Excellent,D,IF,62.5,56.0,"$6,901",6.03x6.06x3.78 mm
1.01,Excellent,H,VVS2,62.7,58.0,"$5,076",6.33x6.38x3.98 mm
1.00,Excellent,H,VS2,60.7,62.0,"$3,974",6.42x6.45x3.91 mm
1.15,Excellent,H,SI1,62.7,56.0,"$4,147",6.67x6.69x4.19 mm
1.00,Excellent,H,VVS1,61.8,58.0,"$5,260",6.37x6.41x3.95 mm
1.02,Excellent,D,SI1,62.8,57.0,"$4,514",6.39x6.42x4.02 mm
1.00,Excellent,E,VS1,60.7,62.0,"$6,998",6.41x6.46x3.9 mm
1.01,Excellent,H,VS1,60.9,58.0,"$4,547",6.45x6.5x3.94 mm
1.01,Excellent,D,SI1,61.3,62.0,"$4,882",6.41x6.42x3.93 mm
1.05,Excellent,G,SI1,62.4,56.0,"$4,288",6.49x6.51x4.06 mm
0.90,Excellent,D,VVS1,62.2,58.0,"$6,880",6.16x6.19x3.84 mm
0.90,Excellent,F,IF,62.5,58.0,"$5,580",6.16x6.19x3.86 mm
1.20,Excellent,D,SI1,62.4,57.0,"$5,760",6.74x6.78x4.22 mm
1.11,Excellent,E,VS1,60.7,59.0,"$7,590",6.66x6.68x4.05 mm
1.34,Excellent,E,SI2,62.0,58.0,"$6,242",7.05x7.07x4.38 mm
1.00,Very Good,F,VS1,64.3,55.0,"$5,011",6.17x6.24x3.99 mm
1.00,Very Good,D,VS1,64.4,57.0,"$4,360",6.15x6.24x3.99 mm
0.83,Excellent,D,IF,61.0,57.0,"$7,441",6.06x6.08x3.71 mm
1.20,Excellent,D,VS1,62.4,57.0,"$7,765",6.76x6.8x4.23 mm
1.61,Excellent,K,VVS2,62.3,58.0,"$6,930",7.47x7.51x4.67 mm
0.78,Excellent,D,VVS1,62.6,56.0,"$4,620",5.83x5.86x3.66 mm
1.71,Very Good,K,SI1,61.7,58.0,"$6,680",7.62x7.66x4.71 mm
1.00,Excellent,D,VS1,62.7,56.0,"$7,430",6.34x6.37x3.98 mm
1.01,Excellent,G,VS2,62.7,57.0,"$5,216",6.36x6.4x4 mm
1.01,Excellent,G,VS1,62.6,57.0,"$5,843",6.37x6.4x4 mm
1.01,Excellent,H,VVS1,60.6,59.0,"$5,260",6.46x6.5x3.93 mm
1.00,Excellent,F,VS2,63.0,57.0,"$5,508",6.32x6.36x4 mm
1.52,Very Good,F,VS2,59.0,63.0,"$9,590",7.44x7.55x4.42 mm
0.86,Excellent,D,VS1,62.5,58.0,"$5,540",6.03x6.07x3.78 mm
0.83,Excellent,D,VVS1,61.1,58.0,"$7,506",6.05x6.07x3.71 mm
0.91,Excellent,H,IF,61.8,59.0,"$4,220",6.16x6.21x3.83 mm
1.52,Very Good,F,SI2,63.9,58.0,"$6,545",7.17x7.23x4.6 mm
0.85,Excellent,E,VVS1,62.3,57.0,"$5,070",6.04x6.07x3.77 mm
0.91,Very Good,D,VVS1,64.6,58.0,"$4,300",5.99x6.04x3.88 mm
0.72,Excellent,D,FL,61.9,57.0,"$5,000",5.73x5.76x3.55 mm
0.90,Excellent,E,VVS2,62.4,57.0,"$4,440",6.11x6.15x3.83 mm
0.92,Excellent,D,VVS1,61.9,58.0,"$7,610",6.19x6.24x3.85 mm
1.01,Excellent,F,VS2,61.7,59.0,"$5,832",6.42x6.46x3.97 mm
1.10,Excellent,F,VVS2,62.6,58.0,"$5,778",6.53x6.57x4.1 mm
1.02,Very Good,D,VS2,64.6,56.0,"$5,465",6.25x6.29x4.05 mm
1.01,Excellent,D,VS2,62.7,57.0,"$5,702",6.36x6.4x4 mm
1.01,Excellent,D,VS2,62.6,58.0,"$6,923",6.39x6.43x4.01 mm
1.01,Excellent,E,SI1,62.8,58.0,"$5,108",6.34x6.38x3.99 mm
0.95,Excellent,F,VVS1,59.8,61.0,"$7,182",6.35x6.38x3.81 mm
1.03,Excellent,D,VS1,62.6,58.0,"$6,912",6.39x6.43x4.02 mm
1.01,Excellent,D,SI1,61.7,58.0,"$4,223",6.41x6.45x3.97 mm
1.05,Excellent,E,VS1,62.9,57.0,"$7,366",6.42x6.46x4.05 mm
1.02,Excellent,D,SI1,62.3,58.0,"$5,249",6.43x6.47x4.01 mm
1.00,Excellent,H,VS1,61.8,60.0,"$4,633",6.39x6.43x3.96 mm
1.01,Excellent,H,VVS2,62.2,57.0,"$5,076",6.37x6.41x3.98 mm
1.02,Excellent,H,VS2,62.9,57.0,"$4,493",6.35x6.4x4.01 mm
1.01,Excellent,F,VS2,62.6,58.0,"$5,508",6.37x6.42x4 mm
1.01,Excellent,F,VS2,62.2,57.0,"$5,832",6.39x6.42x3.98 mm
1.01,Excellent,D,VS2,62.8,58.0,"$6,620",6.34x6.38x3.99 mm
1.01,Excellent,E,VVS1,62.2,58.0,"$8,392",6.36x6.4x3.97 mm
0.98,Excellent,D,VVS1,61.3,60.0,"$9,914",6.37x6.41x3.92 mm
1.34,Excellent,D,SI2,61.9,60.0,"$5,972",7.04x7.06x4.36 mm
0.95,Excellent,D,VVS1,61.0,59.0,"$8,424",6.36x6.38x3.89 mm
0.94,Excellent,H,IF,59.8,62.0,"$4,169",6.35x6.39x3.81 mm
1.00,Excellent,D,VVS2,59.9,62.0,"$9,660",6.47x6.53x3.89 mm
0.83,Excellent,E,VS1,59.4,59.0,"$4,050",6.14x6.18x3.66 mm
0.94,Excellent,E,VVS2,60.2,60.0,"$7,260",6.31x6.34x3.81 mm
0.90,Excellent,G,VVS1,59.8,55.0,"$5,470",6.3x6.34x3.78 mm
1.48,Excellent,I,VVS1,62.6,59.0,"$9,350",7.23x7.28x4.54 mm
0.95,Excellent,H,VVS1,63.6,56.0,"$4,820",6.19x6.23x3.95 mm
1.08,Excellent,I,VVS1,62.5,59.0,"$4,104",6.5x6.54x4.08 mm
1.04,Excellent,E,VVS1,62.7,57.0,,6.41x6.46x4.04 mm
1.18,Excellent,H,VVS1,57.9,62.0,"$6,260",7x7.03x4.06 mm
0.90,Excellent,E,VVS1,63.5,56.0,"$6,850",6.09x6.16x3.89 mm
0.80,Excellent,D,VVS1,63.4,56.0,"$4,360",5.86x5.9x3.73 mm
1.50,Excellent,H,SI1,61.6,60.0,"$8,290",7.28x7.34x4.5 mm
1.50,Excellent,E,SI1,61.7,59.0,"$8,100",7.28x7.34x4.51 mm
1.62,Excellent,I,VVS1,61.7,58.0,"$9,630",7.53x7.56x4.66 mm
1.80,Excellent,J,VS2,62.8,58.0,"$9,770",7.66x7.71x4.83 mm
0.90,Excellent,F,VVS1,62.3,61.0,"$5,720",6.11x6.15x3.82 mm
0.85,Excellent,D,IF,61.1,58.0,"$7,690",6.06x6.07x3.71 mm
0.96,Excellent,D,VVS1,61.5,59.0,"$8,446",6.36x6.38x3.92 mm
1.20,Excellent,E,VVS1,62.1,60.0,"$9,840",6.71x6.77x4.18 mm
0.93,Excellent,F,VVS1,60.8,59.0,"$6,491",6.31x6.33x3.84 mm
0.90,Excellent,D,VVS2,59.8,59.0,"$6,037",6.25x6.28x3.75 mm
0.84,Excellent,D,VVS1,60.6,60.0,"$7,085",6.07x6.1x3.69 mm
0.92,Excellent,D,VVS1,60.2,60.0,"$9,871",6.31x6.33x3.8 mm
1.00,Very Good,F,VVS1,64.4,57.0,"$6,200",6.21x6.25x4.01 mm
1.50,Very Good,K,VVS2,64.2,56.0,"$5,550",7.09x7.16x4.57 mm
1.02,Excellent,F,SI2,62.7,57.0,"$4,007",6.38x6.41x4.01 mm
0.90,Excellent,E,VVS1,63.1,58.0,"$6,850",6.08x6.13x3.85 mm
1.00,Very Good,D,VS1,62.9,58.0,"$4,750",6.3x6.35x3.98 mm
0.90,Excellent,D,VS1,62.6,58.0,"$4,520",6.12x6.15x3.84 mm
0.86,Excellent,E,VS1,62.2,59.0,"$4,950",6.06x6.09x3.77 mm
1.00,Excellent,F,VS1,61.0,59.0,"$4,810",6.38x6.44x3.91 mm
1.30,Excellent,F,SI2,62.8,58.0,"$5,380",6.89x6.94x4.34 mm
1.50,Excellent,H,SI2,62.9,57.0,"$6,720",7.19x7.26x4.55 mm
1.26,Excellent,G,SI2,62.5,58.0,"$4,730",6.84x6.88x4.28 mm
0.95,Excellent,F,VVS1,62.0,59.0,,6.24x6.28x3.88 mm
1.01,Excellent,G,VS1,61.8,59.0,"$5,740",6.41x6.47x3.98 mm
1.01,Excellent,G,VS1,62.7,57.0,"$5,800",6.33x6.39x3.99 mm
0.90,Excellent,G,IF,60.7,60.0,"$5,170",6.24x6.28x3.8 mm
1.30,Excellent,I,VVS1,62.0,58.0,"$6,534",6.92x6.96x4.3 mm
0.93,Excellent,F,IF,60.7,59.0,"$6,556",6.35x6.38x3.86 mm
1.17,Excellent,E,VVS1,62.5,58.0,"$9,342",6.73x6.78x4.22 mm
0.85,Excellent,D,VVS1,62.3,57.0,"$7,441",6.01x6.05x3.76 mm
1.50,Excellent,J,SI1,59.9,61.0,"$5,790",7.43x7.48x4.47 mm
1.00,Excellent,D,SI2,62.7,58.0,"$4,310",6.35x6.39x3.99 mm
1.00,Excellent,D,SI2,62.7,58.0,"$4,310",6.32x6.36x3.98 mm
0.95,Excellent,F,VS1,62.7,58.0,"$4,230",6.19x6.24x3.9 mm
1.01,Excellent,E,VS2,62.5,59.0,"$5,389",6.36x6.39x3.98 mm
0.93,Excellent,E,VS1,60.6,59.0,"$8,710",6.32x6.36x3.84 mm
1.90,Excellent,K,VS2,62.9,55.0,"$9,220",7.84x7.9x4.95 mm
1.09,Excellent,H,VS2,62.2,58.0,"$4,080",6.52x6.56x4.07 mm
0.90,Excellent,E,VVS1,60.9,60.0,"$7,214",6.16x6.21x3.77 mm
1.01,Excellent,D,SI2,61.9,58.0,"$4,210",6.35x6.4x3.95 mm
0.98,Excellent,F,VVS1,62.5,59.0,"$7,409",6.31x6.35x3.96 mm
1.50,Excellent,H,SI1,62.8,58.0,"$6,830",7.2x7.26x4.54 mm
1.00,Excellent,D,SI1,61.9,59.0,"$4,030",6.35x6.39x3.95 mm
1.70,Excellent,H,SI1,61.7,58.0,"$8,510",7.6x7.65x4.71 mm
1.01,Excellent,E,VS1,63.1,56.0,"$7,376",6.34x6.38x4.02 mm
1.00,Excellent,D,VS1,61.5,60.0,"$6,674",6.34x6.38x3.91 mm
1.00,Excellent,F,VS2,62.8,56.0,"$5,692",6.32x6.36x3.98 mm
0.90,Excellent,E,VVS2,62.8,56.0,"$5,422",6.13x6.17x3.86 mm
0.94,Excellent,D,VVS1,62.5,56.0,"$8,510",6.21x6.25x3.9 mm
1.01,Excellent,D,SI1,62.8,57.0,"$4,385",6.32x6.37x3.99 mm
0.91,Very Good,D,VVS2,64.1,55.0,"$4,514",6.03x6.08x3.88 mm
1.23,Excellent,H,VS1,59.6,59.0,"$6,140",6.93x6.97x4.15 mm
1.21,Excellent,H,SI2,61.9,57.0,"$4,350",6.8x6.85x4.23 mm
1.03,Excellent,G,VS1,62.6,58.0,"$6,190",6.38x6.43x4.01 mm
1.57,Excellent,I,VS1,63.1,56.0,"$8,760",7.36x7.42x4.66 mm
1.23,Excellent,E,VVS2,62.6,57.0,"$9,480",6.81x6.85x4.28 mm
0.95,Excellent,D,VVS1,62.3,59.0,"$8,284",6.24x6.29x3.9 mm
1.50,Excellent,H,SI1,63.3,57.0,"$8,060",7.22x7.27x4.59 mm
1.01,Excellent,E,VS1,62.6,57.0,,6.34x6.38x3.98 mm
1.16,Excellent,D,SI1,62.4,58.0,"$4,500",6.65x6.69x4.16 mm
1.15,Excellent,I,VVS1,62.4,58.0,"$4,710",6.65x6.66x4.15 mm
1.02,Excellent,D,SI2,60.7,59.0,"$4,061",6.46x6.49x3.93 mm
1.12,Excellent,D,SI2,63.0,56.0,"$4,420",6.6x6.63x4.16 mm
1.02,Excellent,F,SI1,62.6,59.0,"$4,360",6.36x6.39x3.99 mm
1.02,Excellent,E,SI1,60.1,60.0,"$5,270",6.48x6.52x3.91 mm
1.01,Excellent,E,SI1,62.7,59.0,"$5,390",6.35x6.4x4 mm
1.50,Excellent,K,SI1,62.8,59.0,"$4,120",7.24x7.29x4.56 mm
0.86,Excellent,F,VVS1,62.7,57.0,"$5,346",6.04x6.07x3.8 mm
0.85,Excellent,D,VVS1,62.3,56.0,"$7,484",6.02x6.06x3.76 mm
1.01,Excellent,D,VS1,62.8,56.0,"$6,782",6.35x6.4x4.01 mm
0.90,Excellent,D,VVS2,62.4,58.0,"$4,795",6.13x6.16x3.83 mm
0.90,Very Good,D,VVS2,64.5,55.0,"$4,255",5.99x6.05x3.88 mm
1.01,Excellent,F,VS2,62.4,58.0,"$4,363",6.35x6.4x3.98 mm
1.01,Excellent,F,VS2,62.9,58.0,"$5,702",6.36x6.4x4.01 mm
1.00,Very Good,F,VS1,64.5,55.0,"$4,676",6.19x6.27x4.02 mm
1.01,Excellent,D,SI1,63.2,58.0,"$4,957",6.33x6.37x4.01 mm
1.01,Excellent,D,SI1,62.3,56.0,"$5,098",6.38x6.42x3.98 mm
1.00,Excellent,D,SI1,62.7,59.0,"$5,162",6.33x6.37x3.98 mm
1.00,Very Good,E,VS1,64.0,57.0,"$4,850",6.16x6.23x3.96 mm
1.00,Very Good,E,VS1,64.0,58.0,"$4,610",6.17x6.25x3.98 mm
0.85,Excellent,D,VVS1,62.2,57.0,"$5,620",6.03x6.07x3.77 mm
1.21,Excellent,E,SI1,62.7,56.0,"$5,508",6.75x6.79x4.24 mm
1.40,Excellent,F,SI1,62.5,58.0,"$7,484",7.07x7.12x4.44 mm
1.00,Excellent,E,SI1,61.7,58.0,"$4,060",6.43x6.45x3.97 mm
1.50,Very Good,J,SI1,63.4,58.0,"$5,360",7.16x7.26x4.57 mm
1.01,Excellent,D,SI1,60.7,58.0,"$4,352",6.47x6.53x3.95 mm
0.80,Excellent,E,VVS1,60.3,60.0,"$5,724",6.04x6.06x3.65 mm
1.14,Excellent,D,VS1,61.7,58.0,"$7,679",6.65x6.69x4.12 mm
1.50,Excellent,G,SI1,62.6,59.0,"$9,796",7.26x7.32x4.57 mm
1.30,Excellent,I,IF,61.4,62.0,"$6,430",6.95x7.01x4.29 mm
1.20,Excellent,H,SI1,62.7,58.0,"$4,740",6.71x6.76x4.22 mm
1.21,Excellent,I,SI1,60.4,58.0,"$4,250",6.86x6.9x4.16 mm
1.50,Excellent,K,SI2,62.6,57.0,"$5,060",7.25x7.29x4.55 mm
1.50,Excellent,K,SI1,63.7,56.0,"$5,160",7.22x7.27x4.62 mm
1.51,Excellent,K,VVS2,62.1,59.0,"$5,230",7.28x7.33x4.54 mm
1.20,Excellent,H,SI1,62.7,58.0,"$4,430",6.7x6.75x4.22 mm
1.20,Excellent,H,SI2,62.0,59.0,"$4,223",6.79x6.82x4.22 mm
1.50,Excellent,G,SI1,63.4,55.0,"$7,810",7.22x7.29x4.6 mm
1.30,Excellent,G,SI1,62.6,58.0,,6.92x6.96x4.35 mm
1.50,Very Good,F,SI1,64.5,56.0,"$9,288",7.06x7.15x4.58 mm
1.52,Very Good,K,SI1,64.3,56.0,,7.1x7.19x4.6 mm
1.51,Very Good,F,SI2,64.9,57.0,"$7,819",7.06x7.15x4.61 mm
1.50,Excellent,F,SI2,61.6,58.0,"$6,912",7.28x7.33x4.5 mm
1.53,Excellent,I,SI1,62.2,57.0,"$7,614",7.32x7.37x4.57 mm
1.01,Excellent,H,VS2,61.0,59.0,"$4,120",6.47x6.52x3.96 mm
1.70,Excellent,K,SI2,61.3,59.0,"$5,230",7.61x7.65x4.67 mm
1.50,Excellent,I,VS2,62.7,58.0,"$6,520",7.23x7.28x4.55 mm
0.90,Excellent,F,VVS2,62.5,56.0,"$5,054",6.11x6.15x3.83 mm
1.50,Very Good,I,VVS2,64.7,57.0,"$7,370",7.05x7.11x4.58 mm
1.50,Excellent,J,SI1,62.4,58.0,"$5,390",7.25x7.29x4.53 mm
1.51,Excellent,J,SI1,62.8,57.0,"$5,702",7.26x7.31x4.57 mm
1.20,Very Good,D,VS2,60.9,62.0,"$6,599",6.81x6.83x4.15 mm
0.90,Excellent,G,IF,59.9,62.0,"$5,190",6.26x6.3x3.76 mm
1.60,Excellent,I,SI2,59.9,60.0,"$4,760",7.52x7.56x4.52 mm
1.10,Excellent,I,VS1,62.8,56.0,"$4,493",6.57x6.6x4.13 mm
1.02,Excellent,D,SI2,61.4,58.0,"$4,158",6.43x6.47x3.96 mm
1.05,Excellent,D,SI2,62.8,57.0,"$4,439",6.43x6.47x4.05 mm
1.21,Excellent,D,SI2,62.5,58.0,"$5,303",6.75x6.77x4.23 mm
1.11,Excellent,D,SI2,61.9,57.0,"$4,806",6.61x6.64x4.1 mm
1.00,Excellent,D,VVS1,62.8,57.0,"$9,396",6.29x6.38x3.98 mm
1.00,Excellent,E,VS1,62.1,58.0,"$6,944",6.38x6.41x3.97 mm
1.01,Excellent,D,SI1,62.7,59.0,"$4,525",6.34x6.38x3.99 mm
1.00,Very Good,E,VVS2,64.9,56.0,"$6,026",6.18x6.25x4.03 mm
1.03,Excellent,D,VVS2,62.5,57.0,"$7,582",6.42x6.44x4.02 mm
1.02,Excellent,D,VVS2,62.8,57.0,"$9,061",6.37x6.41x4.01 mm
1.01,Excellent,D,VVS2,62.5,56.0,,6.37x6.41x3.99 mm
1.02,Excellent,E,SI1,62.5,55.0,"$4,298",6.39x6.42x4 mm
1.00,Excellent,E,SI1,62.9,56.0,"$4,838",6.34x6.37x4 mm
1.02,Excellent,E,SI1,60.1,60.0,"$4,007",6.51x6.53x3.92 mm
0.91,Excellent,D,VS2,62.5,57.0,"$4,298",6.19x6.21x3.88 mm
1.10,Excellent,E,VS2,62.7,56.0,"$6,448",6.55x6.59x4.12 mm
1.08,Excellent,H,VS2,62.5,59.0,"$4,363",6.51x6.55x4.08 mm
